district,snapp,tapsi,time,date,day,bothOK
خونه من,127000,124000,19:04:56,2023-05-28,Sunday,True
باغ فیض هجرت,123500,109000,19:05:00,2023-05-28,Sunday,True
باغ فیض باهنر,145000,120000,19:05:05,2023-05-28,Sunday,True
ستاری کورش,123000,129000,19:05:09,2023-05-28,Sunday,True
میدون سازمان برنامه,112000,111000,19:05:14,2023-05-28,Sunday,True
شقایق شمالی,133000,113000,19:05:19,2023-05-28,Sunday,True
کاشانی اباذر,,122000,19:05:23,2023-05-28,Sunday,False
اباذر پردیس زندگی,151000,124000,19:05:31,2023-05-28,Sunday,True
کاشانی سر جنت,112500,104000,19:05:37,2023-05-28,Sunday,True
فردوس شقایق,142000,113000,19:05:41,2023-05-28,Sunday,True
کاشانی مینیاتور,134000,118000,19:05:46,2023-05-28,Sunday,True
هایپراستار,124000,95000,19:05:49,2023-05-28,Sunday,True
خونه من,127500,119000,19:19:47,2023-05-28,Sunday,True
باغ فیض هجرت,111500,123000,19:19:51,2023-05-28,Sunday,True
باغ فیض باهنر,135000,115000,19:19:55,2023-05-28,Sunday,True
ستاری کورش,128000,124000,19:20:00,2023-05-28,Sunday,True
میدون سازمان برنامه,120500,107000,19:20:04,2023-05-28,Sunday,True
شقایق شمالی,137000,118000,19:20:08,2023-05-28,Sunday,True
کاشانی اباذر,156500,127000,19:20:12,2023-05-28,Sunday,True
اباذر پردیس زندگی,134500,119000,19:20:16,2023-05-28,Sunday,True
کاشانی سر جنت,126500,128000,19:20:20,2023-05-28,Sunday,True
فردوس شقایق,148000,109000,19:20:24,2023-05-28,Sunday,True
کاشانی مینیاتور,139000,124000,19:20:28,2023-05-28,Sunday,True
هایپراستار,112000,100000,19:20:32,2023-05-28,Sunday,True
خونه من,159000,137000,19:43:54,2023-05-28,Sunday,True
باغ فیض هجرت,138000,123000,19:43:59,2023-05-28,Sunday,True
باغ فیض باهنر,142500,125000,19:44:02,2023-05-28,Sunday,True
ستاری کورش,155000,143000,19:44:06,2023-05-28,Sunday,True
میدون سازمان برنامه,121500,116000,19:44:09,2023-05-28,Sunday,True
شقایق شمالی,146500,109000,19:44:14,2023-05-28,Sunday,True
کاشانی اباذر,171500,137000,19:44:17,2023-05-28,Sunday,True
اباذر پردیس زندگی,151000,129000,19:44:21,2023-05-28,Sunday,True
کاشانی سر جنت,143000,128000,19:44:24,2023-05-28,Sunday,True
فردوس شقایق,146500,118000,19:44:28,2023-05-28,Sunday,True
کاشانی مینیاتور,150000,115000,19:44:33,2023-05-28,Sunday,True
هایپراستار,112000,108000,19:44:38,2023-05-28,Sunday,True
خونه من,175000,146000,20:09:48,2023-05-28,Sunday,True
باغ فیض هجرت,157500,153000,20:09:52,2023-05-28,Sunday,True
باغ فیض باهنر,164000,158000,20:09:59,2023-05-28,Sunday,True
ستاری کورش,173500,152000,20:10:05,2023-05-28,Sunday,True
میدون سازمان برنامه,139000,141000,20:10:09,2023-05-28,Sunday,True
شقایق شمالی,164000,144000,20:10:13,2023-05-28,Sunday,True
کاشانی اباذر,190000,148000,20:10:17,2023-05-28,Sunday,True
اباذر پردیس زندگی,170000,163000,20:10:22,2023-05-28,Sunday,True
کاشانی سر جنت,159500,146000,20:10:26,2023-05-28,Sunday,True
فردوس شقایق,165000,134000,20:10:30,2023-05-28,Sunday,True
کاشانی مینیاتور,169000,151000,20:10:33,2023-05-28,Sunday,True
هایپراستار,130500,124000,20:10:38,2023-05-28,Sunday,True
خونه من,182000,148000,20:20:03,2023-05-28,Sunday,True
باغ فیض هجرت,161000,131000,20:20:08,2023-05-28,Sunday,True
باغ فیض باهنر,168000,135000,20:20:14,2023-05-28,Sunday,True
ستاری کورش,177000,152000,20:20:18,2023-05-28,Sunday,True
میدون سازمان برنامه,144000,123000,20:20:22,2023-05-28,Sunday,True
شقایق شمالی,169500,125000,20:20:27,2023-05-28,Sunday,True
کاشانی اباذر,195500,147000,20:20:33,2023-05-28,Sunday,True
اباذر پردیس زندگی,174000,139000,20:20:37,2023-05-28,Sunday,True
کاشانی سر جنت,163000,125000,20:20:42,2023-05-28,Sunday,True
فردوس شقایق,169000,126000,20:20:46,2023-05-28,Sunday,True
کاشانی مینیاتور,173000,131000,20:20:50,2023-05-28,Sunday,True
هایپراستار,132500,114000,20:20:53,2023-05-28,Sunday,True
خونه من,150500,127000,20:39:33,2023-05-28,Sunday,True
باغ فیض هجرت,143000,123000,20:39:38,2023-05-28,Sunday,True
باغ فیض باهنر,150500,123000,20:39:42,2023-05-28,Sunday,True
ستاری کورش,158000,134000,20:39:46,2023-05-28,Sunday,True
میدون سازمان برنامه,102500,105000,20:39:50,2023-05-28,Sunday,True
شقایق شمالی,128500,116000,20:39:55,2023-05-28,Sunday,True
کاشانی اباذر,173500,139000,20:40:00,2023-05-28,Sunday,True
اباذر پردیس زندگی,158500,145000,20:40:04,2023-05-28,Sunday,True
کاشانی سر جنت,135500,119000,20:40:07,2023-05-28,Sunday,True
فردوس شقایق,148500,126000,20:40:12,2023-05-28,Sunday,True
کاشانی مینیاتور,142000,122000,20:40:16,2023-05-28,Sunday,True
هایپراستار,123000,120000,20:40:22,2023-05-28,Sunday,True
خونه من,136500,106000,20:52:37,2023-05-28,Sunday,True
باغ فیض هجرت,110500,109000,20:52:41,2023-05-28,Sunday,True
باغ فیض باهنر,146500,112000,20:52:46,2023-05-28,Sunday,True
ستاری کورش,132000,112000,20:52:50,2023-05-28,Sunday,True
میدون سازمان برنامه,101000,113000,20:52:55,2023-05-28,Sunday,True
شقایق شمالی,121000,105000,20:52:59,2023-05-28,Sunday,True
کاشانی اباذر,153000,114000,20:53:03,2023-05-28,Sunday,True
اباذر پردیس زندگی,160000,117000,20:53:08,2023-05-28,Sunday,True
کاشانی سر جنت,116500,106000,20:53:12,2023-05-28,Sunday,True
فردوس شقایق,126500,115000,20:53:17,2023-05-28,Sunday,True
کاشانی مینیاتور,124500,110000,20:53:21,2023-05-28,Sunday,True
هایپراستار,104500,110000,20:53:25,2023-05-28,Sunday,True
خونه من,133500,104000,21:05:11,2023-05-28,Sunday,True
باغ فیض هجرت,113500,86000,21:05:16,2023-05-28,Sunday,True
باغ فیض باهنر,146000,98000,21:05:20,2023-05-28,Sunday,True
ستاری کورش,138000,110000,21:05:25,2023-05-28,Sunday,True
میدون سازمان برنامه,100500,102000,21:05:29,2023-05-28,Sunday,True
شقایق شمالی,118000,94000,21:05:34,2023-05-28,Sunday,True
کاشانی اباذر,158000,111000,21:05:37,2023-05-28,Sunday,True
اباذر پردیس زندگی,153000,104000,21:05:41,2023-05-28,Sunday,True
کاشانی سر جنت,125500,104000,21:05:46,2023-05-28,Sunday,True
فردوس شقایق,132500,104000,21:05:49,2023-05-28,Sunday,True
کاشانی مینیاتور,121000,98000,21:05:54,2023-05-28,Sunday,True
هایپراستار,97500,90000,21:05:58,2023-05-28,Sunday,True
خونه من,136500,114000,21:19:51,2023-05-28,Sunday,True
باغ فیض هجرت,108500,107000,21:19:55,2023-05-28,Sunday,True
باغ فیض باهنر,133000,109000,21:19:59,2023-05-28,Sunday,True
ستاری کورش,141500,121000,21:20:03,2023-05-28,Sunday,True
میدون سازمان برنامه,103500,83000,21:20:07,2023-05-28,Sunday,True
شقایق شمالی,111000,94000,21:20:11,2023-05-28,Sunday,True
کاشانی اباذر,150500,112000,21:20:14,2023-05-28,Sunday,True
اباذر پردیس زندگی,139500,115000,21:20:18,2023-05-28,Sunday,True
کاشانی سر جنت,117500,95000,21:20:23,2023-05-28,Sunday,True
فردوس شقایق,122500,104000,21:20:26,2023-05-28,Sunday,True
کاشانی مینیاتور,113500,98000,21:20:29,2023-05-28,Sunday,True
هایپراستار,101500,81000,21:20:34,2023-05-28,Sunday,True
خونه من,121500,102000,21:43:22,2023-05-28,Sunday,True
باغ فیض هجرت,113500,85000,21:43:27,2023-05-28,Sunday,True
باغ فیض باهنر,130000,115000,21:43:31,2023-05-28,Sunday,True
ستاری کورش,131500,108000,21:43:35,2023-05-28,Sunday,True
میدون سازمان برنامه,93500,81000,21:43:40,2023-05-28,Sunday,True
شقایق شمالی,98500,110000,21:43:44,2023-05-28,Sunday,True
کاشانی اباذر,168000,98000,21:43:47,2023-05-28,Sunday,True
اباذر پردیس زندگی,135500,120000,21:43:50,2023-05-28,Sunday,True
کاشانی سر جنت,96000,83000,21:43:54,2023-05-28,Sunday,True
فردوس شقایق,98500,101000,21:43:58,2023-05-28,Sunday,True
کاشانی مینیاتور,106000,114000,21:44:02,2023-05-28,Sunday,True
هایپراستار,99500,96000,21:44:07,2023-05-28,Sunday,True
خونه من,116500,83000,21:56:26,2023-05-28,Sunday,True
باغ فیض هجرت,100500,85000,21:56:32,2023-05-28,Sunday,True
باغ فیض باهنر,141000,86000,21:56:36,2023-05-28,Sunday,True
ستاری کورش,126000,89000,21:56:40,2023-05-28,Sunday,True
میدون سازمان برنامه,93500,81000,21:56:43,2023-05-28,Sunday,True
شقایق شمالی,102000,73000,21:56:47,2023-05-28,Sunday,True
کاشانی اباذر,160000,78000,21:56:51,2023-05-28,Sunday,True
اباذر پردیس زندگی,145500,80000,21:56:55,2023-05-28,Sunday,True
کاشانی سر جنت,108000,74000,21:56:59,2023-05-28,Sunday,True
فردوس شقایق,105000,73000,21:57:03,2023-05-28,Sunday,True
کاشانی مینیاتور,107500,76000,21:57:06,2023-05-28,Sunday,True
هایپراستار,95500,70000,21:57:10,2023-05-28,Sunday,True
خونه من,106000,82000,22:06:03,2023-05-28,Sunday,True
باغ فیض هجرت,100500,94000,22:06:08,2023-05-28,Sunday,True
باغ فیض باهنر,130000,86000,22:06:13,2023-05-28,Sunday,True
ستاری کورش,114500,88000,22:06:17,2023-05-28,Sunday,True
میدون سازمان برنامه,93500,71000,22:06:22,2023-05-28,Sunday,True
شقایق شمالی,99500,82000,22:06:27,2023-05-28,Sunday,True
کاشانی اباذر,149500,87000,22:06:32,2023-05-28,Sunday,True
اباذر پردیس زندگی,135500,89000,22:06:36,2023-05-28,Sunday,True
کاشانی سر جنت,98000,82000,22:06:40,2023-05-28,Sunday,True
فردوس شقایق,113500,91000,22:06:45,2023-05-28,Sunday,True
کاشانی مینیاتور,105500,76000,22:06:50,2023-05-28,Sunday,True
هایپراستار,93500,78000,22:06:54,2023-05-28,Sunday,True
خونه من,113000,99000,22:19:55,2023-05-28,Sunday,True
باغ فیض هجرت,102000,93000,22:20:00,2023-05-28,Sunday,True
باغ فیض باهنر,123500,95000,22:20:04,2023-05-28,Sunday,True
ستاری کورش,119500,107000,22:20:08,2023-05-28,Sunday,True
میدون سازمان برنامه,96000,79000,22:20:11,2023-05-28,Sunday,True
شقایق شمالی,98000,81000,22:20:16,2023-05-28,Sunday,True
کاشانی اباذر,123000,106000,22:20:20,2023-05-28,Sunday,True
اباذر پردیس زندگی,127000,98000,22:20:24,2023-05-28,Sunday,True
کاشانی سر جنت,98500,81000,22:20:29,2023-05-28,Sunday,True
فردوس شقایق,115500,81000,22:20:33,2023-05-28,Sunday,True
کاشانی مینیاتور,99500,84000,22:20:37,2023-05-28,Sunday,True
هایپراستار,90000,76000,22:20:41,2023-05-28,Sunday,True
خونه من,104500,72000,22:39:11,2023-05-28,Sunday,True
باغ فیض هجرت,102000,84000,22:39:15,2023-05-28,Sunday,True
باغ فیض باهنر,109000,85000,22:39:20,2023-05-28,Sunday,True
ستاری کورش,110500,78000,22:39:25,2023-05-28,Sunday,True
میدون سازمان برنامه,95000,79000,22:39:30,2023-05-28,Sunday,True
شقایق شمالی,97000,81000,22:39:35,2023-05-28,Sunday,True
کاشانی اباذر,100000,86000,22:39:39,2023-05-28,Sunday,True
